s1,class1,ex1,s2,class2,ex2,score
17110080,02CLC,Ex7,15110134,08CLC,Ex1,0.6866045499101598
17110080,02CLC,Ex7,15110134,08CLC,Ex3,0.8520533955272507
17110080,02CLC,Ex7,15110134,08CLC,Ex2,0.8482883597692746
17110080,02CLC,Ex7,15110134,08CLC,Ex4,0.8172528022392229
17110080,02CLC,Ex7,15110353,04DT,Ex7,0.7938204111421809
17110080,02CLC,Ex7,15110353,04DT,Ex5,0.8545587565920768
17110080,02CLC,Ex7,15110353,04DT,Ex1,0.7082674989233846
17110080,02CLC,Ex7,15110353,04DT,Ex8,0.8326261021909934
17110080,02CLC,Ex7,15110353,04DT,Ex6,0.795550768978374
17110080,02CLC,Ex7,15110353,04DT,Ex4,0.8100590453906493
17110080,02CLC,Ex7,16110253,09CLC,Ex1,0.6697791177172994
17110080,02CLC,Ex7,16110253,09CLC,Ex3,0.8667785358428955
17110080,02CLC,Ex7,16110253,09CLC,Ex2,0.8717203999266905
17110080,02CLC,Ex7,16110253,09CLC,Ex4,0.8484219140415892
17110080,02CLC,Ex7,16110261,08CLC,Ex5,0.8158130330938689
17110080,02CLC,Ex7,16110261,08CLC,Ex1,0.8591127388856628
17110080,02CLC,Ex7,16110261,08CLC,Ex2,0.8710843913856594
17110080,02CLC,Ex7,16110261,08CLC,Ex6,0.8268793614854585
17110080,02CLC,Ex7,16110261,08CLC,Ex4,0.8446272323871481
17110080,02CLC,Ex7,16110585,08CLC,Ex1,0.6686335136724073
17110080,02CLC,Ex7,16119045,09CLC,Ex5,0.8303222602063959
17110080,02CLC,Ex7,16119045,09CLC,Ex1,0.6872398246919489
17110080,02CLC,Ex7,16119045,09CLC,Ex3,0.8552645103019827
17110080,02CLC,Ex7,16119045,09CLC,Ex2,0.8704085073557245
17110080,02CLC,Ex7,16119045,09CLC,Ex6,0.8255370278998572
17110080,02CLC,Ex7,16119045,09CLC,Ex4,0.8666585680929203
17110080,02CLC,Ex7,17110010,02CLC,Ex7,0.8458542356020424
17110080,02CLC,Ex7,17110010,02CLC,Ex5,0.8657901422120631
17110080,02CLC,Ex7,17110010,02CLC,Ex1,0.6873043486352503
17110080,02CLC,Ex7,17110010,02CLC,Ex3,0.9169895646409092
17110080,02CLC,Ex7,17110010,02CLC,Ex8,0.7826461008115977
17110080,02CLC,Ex7,17110010,02CLC,Ex2,0.9368746172950928
17110080,02CLC,Ex7,17110010,02CLC,Ex6,0.8525686346268574
17110080,02CLC,Ex7,17110010,02CLC,Ex4,0.9169895646409092
17110080,02CLC,Ex7,17110021,01CLC,Ex2,0.9224232561886311
17110080,02CLC,Ex7,17110030,01CLC,Ex7,0.8885214681769239
17110080,02CLC,Ex7,17110030,01CLC,Ex5,0.8963830648737158
17110080,02CLC,Ex7,17110030,01CLC,Ex1,0.6849983952394346
17110080,02CLC,Ex7,17110030,01CLC,Ex3,0.9415607768690811
17110080,02CLC,Ex7,17110030,01CLC,Ex8,0.7735871422528661
17110080,02CLC,Ex7,17110030,01CLC,Ex2,0.914321038194678
17110080,02CLC,Ex7,17110030,01CLC,Ex6,0.8891394470746701
17110080,02CLC,Ex7,17110030,01CLC,Ex4,0.929012767970562
17110080,02CLC,Ex7,17110033,02CLC,Ex7,0.8614681132629023
17110080,02CLC,Ex7,17110033,02CLC,Ex5,0.8596128058869664
17110080,02CLC,Ex7,17110033,02CLC,Ex1,0.6877212476730347
17110080,02CLC,Ex7,17110033,02CLC,Ex3,0.9359539440936513
17110080,02CLC,Ex7,17110033,02CLC,Ex8,0.7849613264895302
17110080,02CLC,Ex7,17110033,02CLC,Ex2,0.9430960842541286
17110080,02CLC,Ex7,17110033,02CLC,Ex6,0.8497634298526324
17110080,02CLC,Ex7,17110033,02CLC,Ex4,0.9020195505619049
17110080,02CLC,Ex7,17110048,02CLC,Ex7,0.8494284389576872
17110080,02CLC,Ex7,17110048,02CLC,Ex5,0.8777721595505009
17110080,02CLC,Ex7,17110048,02CLC,Ex1,0.6897204225713557
17110080,02CLC,Ex7,17110048,02CLC,Ex3,0.9361626513906427
17110080,02CLC,Ex7,17110048,02CLC,Ex8,0.7735871422528661
17110080,02CLC,Ex7,17110048,02CLC,Ex2,0.93573559662875
17110080,02CLC,Ex7,17110048,02CLC,Ex6,0.8232630481420964
17110080,02CLC,Ex7,17110048,02CLC,Ex4,0.9020195505619049
17110080,02CLC,Ex7,17110049,02CLC,Ex5,0.8842073663528719
17110080,02CLC,Ex7,17110049,02CLC,Ex1,0.6797421894628893
17110080,02CLC,Ex7,17110049,02CLC,Ex3,0.9307170607018889
17110080,02CLC,Ex7,17110049,02CLC,Ex2,0.9409719617278488
17110080,02CLC,Ex7,17110049,02CLC,Ex6,0.8130487629718948
17110080,02CLC,Ex7,17110049,02CLC,Ex4,0.92501285525619
17110080,02CLC,Ex7,17110059,02CLC,Ex7,0.8643761903655772
17110080,02CLC,Ex7,17110059,02CLC,Ex5,0.8989909444619151
17110080,02CLC,Ex7,17110059,02CLC,Ex1,0.6841635895626885
17110080,02CLC,Ex7,17110059,02CLC,Ex3,0.9366851911511062
17110080,02CLC,Ex7,17110059,02CLC,Ex8,0.8208883966059506
17110080,02CLC,Ex7,17110059,02CLC,Ex2,0.9460022792220115
17110080,02CLC,Ex7,17110059,02CLC,Ex6,0.8542470427120433
17110080,02CLC,Ex7,17110059,02CLC,Ex4,0.9261805730021518
17110080,02CLC,Ex7,17110062,02CLC,Ex7,0.8863148595438021
17110080,02CLC,Ex7,17110062,02CLC,Ex5,0.9259689513904353
17110080,02CLC,Ex7,17110062,02CLC,Ex1,0.6891560303442406
17110080,02CLC,Ex7,17110062,02CLC,Ex3,0.975744678860619
17110080,02CLC,Ex7,17110062,02CLC,Ex8,0.7728475892277951
17110080,02CLC,Ex7,17110062,02CLC,Ex2,0.9378842711448669
17110080,02CLC,Ex7,17110062,02CLC,Ex6,0.8761412812264886
17110080,02CLC,Ex7,17110062,02CLC,Ex4,0.984538598702504
