s1,class1,ex1,s2,class2,ex2,score
18110123,08CLC,Ex7,15110134,08CLC,Ex1,0.687830943534983
18110123,08CLC,Ex7,15110134,08CLC,Ex3,0.8590043324465845
18110123,08CLC,Ex7,15110134,08CLC,Ex2,0.8894198687558763
18110123,08CLC,Ex7,15110134,08CLC,Ex4,0.7965598677595457
18110123,08CLC,Ex7,15110353,04DT,Ex7,0.812009470033295
18110123,08CLC,Ex7,15110353,04DT,Ex5,0.8457171409775358
18110123,08CLC,Ex7,15110353,04DT,Ex1,0.7247890227514765
18110123,08CLC,Ex7,15110353,04DT,Ex8,0.837248450261925
18110123,08CLC,Ex7,15110353,04DT,Ex6,0.8048463181354278
18110123,08CLC,Ex7,15110353,04DT,Ex4,0.8396635883233764
18110123,08CLC,Ex7,16110253,09CLC,Ex1,0.6610102190874344
18110123,08CLC,Ex7,16110253,09CLC,Ex3,0.8832958894968033
18110123,08CLC,Ex7,16110253,09CLC,Ex2,0.9215333170750561
18110123,08CLC,Ex7,16110253,09CLC,Ex4,0.8484540256338382
18110123,08CLC,Ex7,16110261,08CLC,Ex5,0.8130898373507558
18110123,08CLC,Ex7,16110261,08CLC,Ex1,0.878881464627656
18110123,08CLC,Ex7,16110261,08CLC,Ex2,0.9194705318445446
18110123,08CLC,Ex7,16110261,08CLC,Ex6,0.8303720104816423
18110123,08CLC,Ex7,16110261,08CLC,Ex4,0.8359933133269178
18110123,08CLC,Ex7,16110585,08CLC,Ex1,0.659545706628367
18110123,08CLC,Ex7,16119045,09CLC,Ex5,0.8363534481349316
18110123,08CLC,Ex7,16119045,09CLC,Ex1,0.68414995470488
18110123,08CLC,Ex7,16119045,09CLC,Ex3,0.8707079308874467
18110123,08CLC,Ex7,16119045,09CLC,Ex2,0.9276877121034875
18110123,08CLC,Ex7,16119045,09CLC,Ex6,0.8529719789204431
18110123,08CLC,Ex7,16119045,09CLC,Ex4,0.8788179002919243
18110123,08CLC,Ex7,17110010,02CLC,Ex7,0.7641133568626391
18110123,08CLC,Ex7,17110010,02CLC,Ex5,0.7896940823245261
18110123,08CLC,Ex7,17110010,02CLC,Ex1,0.6838747645623585
18110123,08CLC,Ex7,17110010,02CLC,Ex3,0.8004375772598462
18110123,08CLC,Ex7,17110010,02CLC,Ex8,0.7513109521538603
18110123,08CLC,Ex7,17110010,02CLC,Ex2,0.8841774858624102
18110123,08CLC,Ex7,17110010,02CLC,Ex6,0.7883471522143852
18110123,08CLC,Ex7,17110010,02CLC,Ex4,0.8004375772598462
18110123,08CLC,Ex7,17110021,01CLC,Ex2,0.8859271124005318
18110123,08CLC,Ex7,17110030,01CLC,Ex7,0.8036645614895327
18110123,08CLC,Ex7,17110030,01CLC,Ex5,0.8062807157396633
18110123,08CLC,Ex7,17110030,01CLC,Ex1,0.6792319596904081
18110123,08CLC,Ex7,17110030,01CLC,Ex3,0.8032174547607044
18110123,08CLC,Ex7,17110030,01CLC,Ex8,0.7343219781005886
18110123,08CLC,Ex7,17110030,01CLC,Ex2,0.8504538895054297
18110123,08CLC,Ex7,17110030,01CLC,Ex6,0.799278451627864
18110123,08CLC,Ex7,17110030,01CLC,Ex4,0.7787995241713106
18110123,08CLC,Ex7,17110033,02CLC,Ex7,0.7578302381130365
18110123,08CLC,Ex7,17110033,02CLC,Ex5,0.7892770250396031
18110123,08CLC,Ex7,17110033,02CLC,Ex1,0.6801112207344601
18110123,08CLC,Ex7,17110033,02CLC,Ex3,0.8120933911866612
18110123,08CLC,Ex7,17110033,02CLC,Ex8,0.7380076865403751
18110123,08CLC,Ex7,17110033,02CLC,Ex2,0.8869092692802478
18110123,08CLC,Ex7,17110033,02CLC,Ex6,0.7709171590438256
18110123,08CLC,Ex7,17110033,02CLC,Ex4,0.7970233166217804
18110123,08CLC,Ex7,17110048,02CLC,Ex7,0.7609305162615763
18110123,08CLC,Ex7,17110048,02CLC,Ex5,0.8023063793130543
18110123,08CLC,Ex7,17110048,02CLC,Ex1,0.6872032376852902
18110123,08CLC,Ex7,17110048,02CLC,Ex3,0.8030184300633164
18110123,08CLC,Ex7,17110048,02CLC,Ex8,0.7343219781005886
18110123,08CLC,Ex7,17110048,02CLC,Ex2,0.862359092165442
