s1,class1,ex1,s2,class2,ex2,score
18110068,01CLC,Ex7,15110134,08CLC,Ex1,0.6573179589703362
18110068,01CLC,Ex7,15110134,08CLC,Ex3,0.8222813186984436
18110068,01CLC,Ex7,15110134,08CLC,Ex2,0.8180383247940728
18110068,01CLC,Ex7,15110134,08CLC,Ex4,0.7963442932249922
18110068,01CLC,Ex7,15110353,04DT,Ex7,0.7726631126421339
18110068,01CLC,Ex7,15110353,04DT,Ex5,0.8264132291078568
18110068,01CLC,Ex7,15110353,04DT,Ex1,0.7022851407527924
18110068,01CLC,Ex7,15110353,04DT,Ex8,0.8014888084269199
18110068,01CLC,Ex7,15110353,04DT,Ex6,0.7699083864775508
18110068,01CLC,Ex7,15110353,04DT,Ex4,0.7789494537494399
18110068,01CLC,Ex7,16110253,09CLC,Ex1,0.6419093775194745
18110068,01CLC,Ex7,16110253,09CLC,Ex3,0.834306080788374
18110068,01CLC,Ex7,16110253,09CLC,Ex2,0.8323165635852253
18110068,01CLC,Ex7,16110253,09CLC,Ex4,0.8216113692850148
18110068,01CLC,Ex7,16110261,08CLC,Ex5,0.8015426300081289
18110068,01CLC,Ex7,16110261,08CLC,Ex1,0.8621168502352454
18110068,01CLC,Ex7,16110261,08CLC,Ex2,0.8278337886621212
18110068,01CLC,Ex7,16110261,08CLC,Ex6,0.8147809846714495
18110068,01CLC,Ex7,16110261,08CLC,Ex4,0.8151291792505774
18110068,01CLC,Ex7,16110585,08CLC,Ex1,0.6409660508466322
18110068,01CLC,Ex7,16119045,09CLC,Ex5,0.8212179034440354
18110068,01CLC,Ex7,16119045,09CLC,Ex1,0.652477510747193
18110068,01CLC,Ex7,16119045,09CLC,Ex3,0.8250467553734779
18110068,01CLC,Ex7,16119045,09CLC,Ex2,0.8364900488810367
18110068,01CLC,Ex7,16119045,09CLC,Ex6,0.8160397488667344
18110068,01CLC,Ex7,16119045,09CLC,Ex4,0.8355797901026254
18110068,01CLC,Ex7,17110010,02CLC,Ex7,0.7994246518052511
18110068,01CLC,Ex7,17110010,02CLC,Ex5,0.8268113186849015
18110068,01CLC,Ex7,17110010,02CLC,Ex1,0.6587643834966175
18110068,01CLC,Ex7,17110010,02CLC,Ex3,0.8689097902204237
18110068,01CLC,Ex7,17110010,02CLC,Ex8,0.7806499999861757
18110068,01CLC,Ex7,17110010,02CLC,Ex2,0.9015842830560293
18110068,01CLC,Ex7,17110010,02CLC,Ex6,0.821865133517562
18110068,01CLC,Ex7,17110010,02CLC,Ex4,0.8689097902204237
18110068,01CLC,Ex7,17110021,01CLC,Ex2,0.8926997553557158
18110068,01CLC,Ex7,17110030,01CLC,Ex7,0.8389146150186144
18110068,01CLC,Ex7,17110030,01CLC,Ex5,0.8275324917413334
18110068,01CLC,Ex7,17110030,01CLC,Ex1,0.6549518780737389
18110068,01CLC,Ex7,17110030,01CLC,Ex3,0.8637088458493071
18110068,01CLC,Ex7,17110030,01CLC,Ex8,0.7489227446871745
18110068,01CLC,Ex7,17110030,01CLC,Ex2,0.8653927054256201
18110068,01CLC,Ex7,17110030,01CLC,Ex6,0.8289971235907558
18110068,01CLC,Ex7,17110030,01CLC,Ex4,0.85759310973318
18110068,01CLC,Ex7,17110033,02CLC,Ex7,0.8131710526707409
