s1,class1,ex1,s2,class2,ex2,score
18110202,09CLC,Ex7,15110134,08CLC,Ex1,0.6600714778487987
18110202,09CLC,Ex7,15110134,08CLC,Ex3,0.8988029489330217
18110202,09CLC,Ex7,15110134,08CLC,Ex2,0.8970875291342146
18110202,09CLC,Ex7,15110134,08CLC,Ex4,0.8429553339427168
18110202,09CLC,Ex7,15110353,04DT,Ex7,0.7943954445859965
18110202,09CLC,Ex7,15110353,04DT,Ex5,0.8817661574127478
18110202,09CLC,Ex7,15110353,04DT,Ex1,0.6983387305036836
18110202,09CLC,Ex7,15110353,04DT,Ex8,0.815416688769564
18110202,09CLC,Ex7,15110353,04DT,Ex6,0.8248665350987467
18110202,09CLC,Ex7,15110353,04DT,Ex4,0.8682980941100554
18110202,09CLC,Ex7,16110253,09CLC,Ex1,0.6413018705193386
18110202,09CLC,Ex7,16110253,09CLC,Ex3,0.9337622594833374
18110202,09CLC,Ex7,16110253,09CLC,Ex2,0.9217128960525288
18110202,09CLC,Ex7,16110253,09CLC,Ex4,0.9114247533159519
18110202,09CLC,Ex7,16110261,08CLC,Ex5,0.825357306451305
18110202,09CLC,Ex7,16110261,08CLC,Ex1,0.8715874484994195
18110202,09CLC,Ex7,16110261,08CLC,Ex2,0.8966650438719782
18110202,09CLC,Ex7,16110261,08CLC,Ex6,0.8323429173983812
18110202,09CLC,Ex7,16110261,08CLC,Ex4,0.8573004518603456
18110202,09CLC,Ex7,16110585,08CLC,Ex1,0.6434105927514475
18110202,09CLC,Ex7,16119045,09CLC,Ex5,0.8627412464808334
18110202,09CLC,Ex7,16119045,09CLC,Ex1,0.6500215568294415
18110202,09CLC,Ex7,16119045,09CLC,Ex3,0.9181882166395
18110202,09CLC,Ex7,16119045,09CLC,Ex2,0.9266022095479161
18110202,09CLC,Ex7,16119045,09CLC,Ex6,0.8582142982269539
18110202,09CLC,Ex7,16119045,09CLC,Ex4,0.9185445690617978
18110202,09CLC,Ex7,17110010,02CLC,Ex7,0.756888018266982
18110202,09CLC,Ex7,17110010,02CLC,Ex5,0.7852430666929909
18110202,09CLC,Ex7,17110010,02CLC,Ex1,0.6540486960721439
18110202,09CLC,Ex7,17110010,02CLC,Ex3,0.8123576409286923
18110202,09CLC,Ex7,17110010,02CLC,Ex8,0.7739019172307866
18110202,09CLC,Ex7,17110010,02CLC,Ex2,0.8759799671460347
18110202,09CLC,Ex7,17110010,02CLC,Ex6,0.7776159673810853
18110202,09CLC,Ex7,17110010,02CLC,Ex4,0.8123576409286923
18110202,09CLC,Ex7,17110021,01CLC,Ex2,0.8795359261333943
18110202,09CLC,Ex7,17110030,01CLC,Ex7,0.7795919839196421
18110202,09CLC,Ex7,17110030,01CLC,Ex5,0.8070393807110302
18110202,09CLC,Ex7,17110030,01CLC,Ex1,0.6512601737205576
18110202,09CLC,Ex7,17110030,01CLC,Ex3,0.8240302789886043
18110202,09CLC,Ex7,17110030,01CLC,Ex8,0.7342999115096571
18110202,09CLC,Ex7,17110030,01CLC,Ex2,0.8422706062820825
18110202,09CLC,Ex7,17110030,01CLC,Ex6,0.7888220636542518
18110202,09CLC,Ex7,17110030,01CLC,Ex4,0.8079433459461781
18110202,09CLC,Ex7,17110033,02CLC,Ex7,0.7458418064909362
18110202,09CLC,Ex7,17110033,02CLC,Ex5,0.8054337777742525
18110202,09CLC,Ex7,17110033,02CLC,Ex1,0.6499864109924861
18110202,09CLC,Ex7,17110033,02CLC,Ex3,0.8342133627997504
18110202,09CLC,Ex7,17110033,02CLC,Ex8,0.7409932424284719
18110202,09CLC,Ex7,17110033,02CLC,Ex2,0.876822881497346
18110202,09CLC,Ex7,17110033,02CLC,Ex6,0.7634131478833465
18110202,09CLC,Ex7,17110033,02CLC,Ex4,0.8231183338165283
18110202,09CLC,Ex7,17110048,02CLC,Ex7,0.7505958641471969
18110202,09CLC,Ex7,17110048,02CLC,Ex5,0.8207250138663728
18110202,09CLC,Ex7,17110048,02CLC,Ex1,0.6557188359173861
18110202,09CLC,Ex7,17110048,02CLC,Ex3,0.8358917762567332
18110202,09CLC,Ex7,17110048,02CLC,Ex8,0.7342999115096571
18110202,09CLC,Ex7,17110048,02CLC,Ex2,0.8696240298888263
18110202,09CLC,Ex7,17110048,02CLC,Ex6,0.7678790420490523
18110202,09CLC,Ex7,17110048,02CLC,Ex4,0.8231183338165283
18110202,09CLC,Ex7,17110049,02CLC,Ex5,0.7936468170714502
18110202,09CLC,Ex7,17110049,02CLC,Ex1,0.6414700037037785
18110202,09CLC,Ex7,17110049,02CLC,Ex3,0.8230513214019307
18110202,09CLC,Ex7,17110049,02CLC,Ex2,0.8681388158857086
18110202,09CLC,Ex7,17110049,02CLC,Ex6,0.7467655234545338
18110202,09CLC,Ex7,17110049,02CLC,Ex4,0.8036069625713786
18110202,09CLC,Ex7,17110059,02CLC,Ex7,0.770152035604343
