s1,class1,ex1,s2,class2,ex2,score
18110094,09CLC,Ex7,15110134,08CLC,Ex1,0.6794636812298855
18110094,09CLC,Ex7,15110134,08CLC,Ex3,0.9066775927648825
18110094,09CLC,Ex7,15110134,08CLC,Ex2,0.9076115587789021
18110094,09CLC,Ex7,15110134,08CLC,Ex4,0.835252454673702
18110094,09CLC,Ex7,15110353,04DT,Ex7,0.8453183013726683
18110094,09CLC,Ex7,15110353,04DT,Ex5,0.8848126098650311
18110094,09CLC,Ex7,15110353,04DT,Ex1,0.7156724716010301
18110094,09CLC,Ex7,15110353,04DT,Ex8,0.891271954125697
18110094,09CLC,Ex7,15110353,04DT,Ex6,0.8346902679565341
18110094,09CLC,Ex7,15110353,04DT,Ex4,0.8740988533605228
18110094,09CLC,Ex7,16110253,09CLC,Ex1,0.6627264397088871
18110094,09CLC,Ex7,16110253,09CLC,Ex3,0.9452728098630905
18110094,09CLC,Ex7,16110253,09CLC,Ex2,0.9362779350841747
18110094,09CLC,Ex7,16110253,09CLC,Ex4,0.9113306433235834
18110094,09CLC,Ex7,16110261,08CLC,Ex5,0.8665780854616927
18110094,09CLC,Ex7,16110261,08CLC,Ex1,0.8675863939252767
18110094,09CLC,Ex7,16110261,08CLC,Ex2,0.9156927757564632
18110094,09CLC,Ex7,16110261,08CLC,Ex6,0.8852640584670642
18110094,09CLC,Ex7,16110261,08CLC,Ex4,0.8680480721181837
18110094,09CLC,Ex7,16110585,08CLC,Ex1,0.6616637231998665
18110094,09CLC,Ex7,16119045,09CLC,Ex5,0.8972121280702677
18110094,09CLC,Ex7,16119045,09CLC,Ex1,0.6770774134666244
18110094,09CLC,Ex7,16119045,09CLC,Ex3,0.9368229438276852
18110094,09CLC,Ex7,16119045,09CLC,Ex2,0.9407490025083702
18110094,09CLC,Ex7,16119045,09CLC,Ex6,0.9006074712782055
18110094,09CLC,Ex7,16119045,09CLC,Ex4,0.9308626970041145
18110094,09CLC,Ex7,17110010,02CLC,Ex7,0.7741622537567392
18110094,09CLC,Ex7,17110010,02CLC,Ex5,0.8075714309566787
18110094,09CLC,Ex7,17110010,02CLC,Ex1,0.6823409289650663
18110094,09CLC,Ex7,17110010,02CLC,Ex3,0.8294245394376608
18110094,09CLC,Ex7,17110010,02CLC,Ex8,0.7711269979049512
18110094,09CLC,Ex7,17110010,02CLC,Ex2,0.8837715441203979
18110094,09CLC,Ex7,17110010,02CLC,Ex6,0.7994312640516256
18110094,09CLC,Ex7,17110010,02CLC,Ex4,0.8294245394376608
18110094,09CLC,Ex7,17110021,01CLC,Ex2,0.8860325988382101
18110094,09CLC,Ex7,17110030,01CLC,Ex7,0.8320403318466811
18110094,09CLC,Ex7,17110030,01CLC,Ex5,0.8279903109539002
18110094,09CLC,Ex7,17110030,01CLC,Ex1,0.6774800636055993
18110094,09CLC,Ex7,17110030,01CLC,Ex3,0.8436758397322781
18110094,09CLC,Ex7,17110030,01CLC,Ex8,0.7473843622375542
18110094,09CLC,Ex7,17110030,01CLC,Ex2,0.8561753783036362
18110094,09CLC,Ex7,17110030,01CLC,Ex6,0.8139224772379076
18110094,09CLC,Ex7,17110030,01CLC,Ex4,0.821067470076837
18110094,09CLC,Ex7,17110033,02CLC,Ex7,0.783187985420227
18110094,09CLC,Ex7,17110033,02CLC,Ex5,0.8169223636388778
18110094,09CLC,Ex7,17110033,02CLC,Ex1,0.6784346217768533
18110094,09CLC,Ex7,17110033,02CLC,Ex3,0.8476611373049242
18110094,09CLC,Ex7,17110033,02CLC,Ex8,0.7580049911964785
18110094,09CLC,Ex7,17110033,02CLC,Ex2,0.8866841638243044
18110094,09CLC,Ex7,17110033,02CLC,Ex6,0.7914856366927807
18110094,09CLC,Ex7,17110033,02CLC,Ex4,0.8386390819549561
18110094,09CLC,Ex7,17110048,02CLC,Ex7,0.7835659005764799
18110094,09CLC,Ex7,17110048,02CLC,Ex5,0.830930832773447
18110094,09CLC,Ex7,17110048,02CLC,Ex1,0.6863365122766206
18110094,09CLC,Ex7,17110048,02CLC,Ex3,0.8496420404932521
18110094,09CLC,Ex7,17110048,02CLC,Ex8,0.7473843622375542
18110094,09CLC,Ex7,17110048,02CLC,Ex2,0.8776179131339578
18110094,09CLC,Ex7,17110048,02CLC,Ex6,0.797593900669526
18110094,09CLC,Ex7,17110048,02CLC,Ex4,0.8386390819549561
18110094,09CLC,Ex7,17110049,02CLC,Ex5,0.8168521260968145
18110094,09CLC,Ex7,17110049,02CLC,Ex1,0.6636420303786342
18110094,09CLC,Ex7,17110049,02CLC,Ex3,0.8404888649258697
18110094,09CLC,Ex7,17110049,02CLC,Ex2,0.8800553995885967
18110094,09CLC,Ex7,17110049,02CLC,Ex6,0.7731818164214056
18110094,09CLC,Ex7,17110049,02CLC,Ex4,0.815881615779439
18110094,09CLC,Ex7,17110059,02CLC,Ex7,0.8008003457535963
18110094,09CLC,Ex7,17110059,02CLC,Ex5,0.8250946345645633
18110094,09CLC,Ex7,17110059,02CLC,Ex1,0.6789727614571651
18110094,09CLC,Ex7,17110059,02CLC,Ex3,0.8412803970980194
18110094,09CLC,Ex7,17110059,02CLC,Ex8,0.7665011067019434
18110094,09CLC,Ex7,17110059,02CLC,Ex2,0.8852602608501912
18110094,09CLC,Ex7,17110059,02CLC,Ex6,0.7979136761847664
