s1,class1,ex1,s2,class2,ex2,score
18110041,02CLC,Ex7,15110134,08CLC,Ex1,0.6375911731193674
18110041,02CLC,Ex7,15110134,08CLC,Ex3,0.8246749142805735
18110041,02CLC,Ex7,15110134,08CLC,Ex2,0.8233258918430029
18110041,02CLC,Ex7,15110134,08CLC,Ex4,0.7818293864979888
18110041,02CLC,Ex7,15110353,04DT,Ex7,0.7559901988243356
18110041,02CLC,Ex7,15110353,04DT,Ex5,0.8483648389031034
18110041,02CLC,Ex7,15110353,04DT,Ex1,0.6956603873683058
18110041,02CLC,Ex7,15110353,04DT,Ex8,0.7686665997450107
18110041,02CLC,Ex7,15110353,04DT,Ex6,0.7500519415060448
18110041,02CLC,Ex7,15110353,04DT,Ex4,0.7917034562338482
18110041,02CLC,Ex7,16110253,09CLC,Ex1,0.6315265070906905
18110041,02CLC,Ex7,16110253,09CLC,Ex3,0.8510825701057911
18110041,02CLC,Ex7,16110253,09CLC,Ex2,0.8495364983292187
18110041,02CLC,Ex7,16110253,09CLC,Ex4,0.8295871275007178
18110041,02CLC,Ex7,16110261,08CLC,Ex5,0.7590724422898091
18110041,02CLC,Ex7,16110261,08CLC,Ex1,0.8544621555642649
18110041,02CLC,Ex7,16110261,08CLC,Ex2,0.8436880130534885
18110041,02CLC,Ex7,16110261,08CLC,Ex6,0.7657919085168188
18110041,02CLC,Ex7,16110261,08CLC,Ex4,0.8008920157264019
18110041,02CLC,Ex7,16110585,08CLC,Ex1,0.6338059987093128
18110041,02CLC,Ex7,16119045,09CLC,Ex5,0.7773304761980068
18110041,02CLC,Ex7,16119045,09CLC,Ex1,0.6432796411776129
18110041,02CLC,Ex7,16119045,09CLC,Ex3,0.8439019049207369
18110041,02CLC,Ex7,16119045,09CLC,Ex2,0.860464667160827
18110041,02CLC,Ex7,16119045,09CLC,Ex6,0.7810464056665332
18110041,02CLC,Ex7,16119045,09CLC,Ex4,0.8456446833691551
18110041,02CLC,Ex7,17110010,02CLC,Ex7,0.8008333134516158
18110041,02CLC,Ex7,17110010,02CLC,Ex5,0.7776890279991286
18110041,02CLC,Ex7,17110010,02CLC,Ex1,0.6481711906794261
18110041,02CLC,Ex7,17110010,02CLC,Ex3,0.8621702864129319
18110041,02CLC,Ex7,17110010,02CLC,Ex8,0.7305399522143585
18110041,02CLC,Ex7,17110010,02CLC,Ex2,0.9283805195107517
18110041,02CLC,Ex7,17110010,02CLC,Ex6,0.7688299431449992
18110041,02CLC,Ex7,17110010,02CLC,Ex4,0.8621702864129319
18110041,02CLC,Ex7,17110021,01CLC,Ex2,0.9187599197030067
18110041,02CLC,Ex7,17110030,01CLC,Ex7,0.7850863902733244
18110041,02CLC,Ex7,17110030,01CLC,Ex5,0.7951702198242758
18110041,02CLC,Ex7,17110030,01CLC,Ex1,0.6453493313818444
18110041,02CLC,Ex7,17110030,01CLC,Ex3,0.8742696229579314
18110041,02CLC,Ex7,17110030,01CLC,Ex8,0.718477243758703
18110041,02CLC,Ex7,17110030,01CLC,Ex2,0.8844367484138771
18110041,02CLC,Ex7,17110030,01CLC,Ex6,0.7804177754964584
18110041,02CLC,Ex7,17110030,01CLC,Ex4,0.845300605683996
18110041,02CLC,Ex7,17110033,02CLC,Ex7,0.7889962749412427
18110041,02CLC,Ex7,17110033,02CLC,Ex5,0.8103008431632345
18110041,02CLC,Ex7,17110033,02CLC,Ex1,0.6471593347617558
18110041,02CLC,Ex7,17110033,02CLC,Ex3,0.886238376851435
18110041,02CLC,Ex7,17110033,02CLC,Ex8,0.727540827139957
18110041,02CLC,Ex7,17110033,02CLC,Ex2,0.9276845002329195
18110041,02CLC,Ex7,17110033,02CLC,Ex6,0.7655988379166676
18110041,02CLC,Ex7,17110033,02CLC,Ex4,0.8551704845428467
18110041,02CLC,Ex7,17110048,02CLC,Ex7,0.7954110156609819
18110041,02CLC,Ex7,17110048,02CLC,Ex5,0.8229471146250549
18110041,02CLC,Ex7,17110048,02CLC,Ex1,0.6521875760772011
18110041,02CLC,Ex7,17110048,02CLC,Ex3,0.8776328166325887
